"date","label","value","VECTOR","DECIMALS","is_ratio","group","display_order"
2014-12-01,"Wholesale and retail trade",24.6,"v1642751212","1",FALSE,"Industry",8
2015-01-01,"Wholesale and retail trade",24.9,"v1642751212","1",FALSE,"Industry",8
2015-02-01,"Wholesale and retail trade",25.1,"v1642751212","1",FALSE,"Industry",8
2015-03-01,"Wholesale and retail trade",24.8,"v1642751212","1",FALSE,"Industry",8
2015-04-01,"Wholesale and retail trade",24.6,"v1642751212","1",FALSE,"Industry",8
2015-05-01,"Wholesale and retail trade",24.3,"v1642751212","1",FALSE,"Industry",8
2015-06-01,"Wholesale and retail trade",24.1,"v1642751212","1",FALSE,"Industry",8
2015-07-01,"Wholesale and retail trade",24.2,"v1642751212","1",FALSE,"Industry",8
2015-08-01,"Wholesale and retail trade",24.5,"v1642751212","1",FALSE,"Industry",8
2015-09-01,"Wholesale and retail trade",24.9,"v1642751212","1",FALSE,"Industry",8
2015-10-01,"Wholesale and retail trade",25.5,"v1642751212","1",FALSE,"Industry",8
2015-11-01,"Wholesale and retail trade",25.9,"v1642751212","1",FALSE,"Industry",8
2015-12-01,"Wholesale and retail trade",26,"v1642751212","1",FALSE,"Industry",8
2016-01-01,"Wholesale and retail trade",25.4,"v1642751212","1",FALSE,"Industry",8
2016-02-01,"Wholesale and retail trade",24.9,"v1642751212","1",FALSE,"Industry",8
2016-03-01,"Wholesale and retail trade",24.4,"v1642751212","1",FALSE,"Industry",8
2016-04-01,"Wholesale and retail trade",23.9,"v1642751212","1",FALSE,"Industry",8
2016-05-01,"Wholesale and retail trade",23.5,"v1642751212","1",FALSE,"Industry",8
2016-06-01,"Wholesale and retail trade",23.4,"v1642751212","1",FALSE,"Industry",8
2016-07-01,"Wholesale and retail trade",24.4,"v1642751212","1",FALSE,"Industry",8
2016-08-01,"Wholesale and retail trade",25.6,"v1642751212","1",FALSE,"Industry",8
2016-09-01,"Wholesale and retail trade",27.4,"v1642751212","1",FALSE,"Industry",8
2016-10-01,"Wholesale and retail trade",28.5,"v1642751212","1",FALSE,"Industry",8
2016-11-01,"Wholesale and retail trade",29.6,"v1642751212","1",FALSE,"Industry",8
2016-12-01,"Wholesale and retail trade",29.2,"v1642751212","1",FALSE,"Industry",8
2017-01-01,"Wholesale and retail trade",28.2,"v1642751212","1",FALSE,"Industry",8
2017-02-01,"Wholesale and retail trade",26.9,"v1642751212","1",FALSE,"Industry",8
2017-03-01,"Wholesale and retail trade",26.4,"v1642751212","1",FALSE,"Industry",8
2017-04-01,"Wholesale and retail trade",26.5,"v1642751212","1",FALSE,"Industry",8
2017-05-01,"Wholesale and retail trade",27,"v1642751212","1",FALSE,"Industry",8
2017-06-01,"Wholesale and retail trade",27.6,"v1642751212","1",FALSE,"Industry",8
2017-07-01,"Wholesale and retail trade",28.2,"v1642751212","1",FALSE,"Industry",8
2017-08-01,"Wholesale and retail trade",29.3,"v1642751212","1",FALSE,"Industry",8
2017-09-01,"Wholesale and retail trade",30.1,"v1642751212","1",FALSE,"Industry",8
2017-10-01,"Wholesale and retail trade",30.4,"v1642751212","1",FALSE,"Industry",8
2017-11-01,"Wholesale and retail trade",29.9,"v1642751212","1",FALSE,"Industry",8
2017-12-01,"Wholesale and retail trade",29.2,"v1642751212","1",FALSE,"Industry",8
2018-01-01,"Wholesale and retail trade",28,"v1642751212","1",FALSE,"Industry",8
2018-02-01,"Wholesale and retail trade",26.5,"v1642751212","1",FALSE,"Industry",8
2018-03-01,"Wholesale and retail trade",25.9,"v1642751212","1",FALSE,"Industry",8
2018-04-01,"Wholesale and retail trade",26.4,"v1642751212","1",FALSE,"Industry",8
2018-05-01,"Wholesale and retail trade",27.3,"v1642751212","1",FALSE,"Industry",8
2018-06-01,"Wholesale and retail trade",28,"v1642751212","1",FALSE,"Industry",8
2018-07-01,"Wholesale and retail trade",28.9,"v1642751212","1",FALSE,"Industry",8
2018-08-01,"Wholesale and retail trade",30.1,"v1642751212","1",FALSE,"Industry",8
2018-09-01,"Wholesale and retail trade",31,"v1642751212","1",FALSE,"Industry",8
2018-10-01,"Wholesale and retail trade",30.7,"v1642751212","1",FALSE,"Industry",8
2018-11-01,"Wholesale and retail trade",29.6,"v1642751212","1",FALSE,"Industry",8
