"date","label","value","VECTOR","DECIMALS","is_ratio","group","display_order"
2017-08-01,"Public sector employees",39.8,"v1642751282","1",FALSE,"Employment type",19
2017-09-01,"Public sector employees",38.9,"v1642751282","1",FALSE,"Employment type",19
2017-10-01,"Public sector employees",38.6,"v1642751282","1",FALSE,"Employment type",19
2017-11-01,"Public sector employees",39.2,"v1642751282","1",FALSE,"Employment type",19
2017-12-01,"Public sector employees",39.3,"v1642751282","1",FALSE,"Employment type",19
2018-01-01,"Public sector employees",39.7,"v1642751282","1",FALSE,"Employment type",19
2018-02-01,"Public sector employees",40.4,"v1642751282","1",FALSE,"Employment type",19
2018-03-01,"Public sector employees",40.6,"v1642751282","1",FALSE,"Employment type",19
2018-04-01,"Public sector employees",40.2,"v1642751282","1",FALSE,"Employment type",19
2018-05-01,"Public sector employees",39.5,"v1642751282","1",FALSE,"Employment type",19
2018-06-01,"Public sector employees",39.7,"v1642751282","1",FALSE,"Employment type",19
2018-07-01,"Public sector employees",38.3,"v1642751282","1",FALSE,"Employment type",19
2018-08-01,"Public sector employees",35.8,"v1642751282","1",FALSE,"Employment type",19
2018-09-01,"Public sector employees",34.4,"v1642751282","1",FALSE,"Employment type",19
2018-10-01,"Public sector employees",35.3,"v1642751282","1",FALSE,"Employment type",19
2018-11-01,"Public sector employees",37.3,"v1642751282","1",FALSE,"Employment type",19
2018-12-01,"Public sector employees",38.5,"v1642751282","1",FALSE,"Employment type",19
2019-01-01,"Public sector employees",39.3,"v1642751282","1",FALSE,"Employment type",19
2019-02-01,"Public sector employees",40.5,"v1642751282","1",FALSE,"Employment type",19
2019-03-01,"Public sector employees",40.9,"v1642751282","1",FALSE,"Employment type",19
2019-04-01,"Public sector employees",40.9,"v1642751282","1",FALSE,"Employment type",19
2019-05-01,"Public sector employees",40.9,"v1642751282","1",FALSE,"Employment type",19
2019-06-01,"Public sector employees",41.7,"v1642751282","1",FALSE,"Employment type",19
2019-07-01,"Public sector employees",41.2,"v1642751282","1",FALSE,"Employment type",19
2019-08-01,"Public sector employees",39.5,"v1642751282","1",FALSE,"Employment type",19
2019-09-01,"Public sector employees",38.8,"v1642751282","1",FALSE,"Employment type",19
2019-10-01,"Public sector employees",39.4,"v1642751282","1",FALSE,"Employment type",19
2019-11-01,"Public sector employees",40.6,"v1642751282","1",FALSE,"Employment type",19
2019-12-01,"Public sector employees",40.3,"v1642751282","1",FALSE,"Employment type",19
2020-01-01,"Public sector employees",39.7,"v1642751282","1",FALSE,"Employment type",19
2020-02-01,"Public sector employees",39,"v1642751282","1",FALSE,"Employment type",19
2020-03-01,"Public sector employees",38.5,"v1642751282","1",FALSE,"Employment type",19
2020-04-01,"Public sector employees",38.6,"v1642751282","1",FALSE,"Employment type",19
2020-05-01,"Public sector employees",38.5,"v1642751282","1",FALSE,"Employment type",19
2020-06-01,"Public sector employees",37.5,"v1642751282","1",FALSE,"Employment type",19
2020-07-01,"Public sector employees",37,"v1642751282","1",FALSE,"Employment type",19
2020-08-01,"Public sector employees",37.2,"v1642751282","1",FALSE,"Employment type",19
2020-09-01,"Public sector employees",39,"v1642751282","1",FALSE,"Employment type",19
2020-10-01,"Public sector employees",40.8,"v1642751282","1",FALSE,"Employment type",19
2020-11-01,"Public sector employees",41.6,"v1642751282","1",FALSE,"Employment type",19
2020-12-01,"Public sector employees",41.9,"v1642751282","1",FALSE,"Employment type",19
2021-01-01,"Public sector employees",41.4,"v1642751282","1",FALSE,"Employment type",19
2021-02-01,"Public sector employees",42,"v1642751282","1",FALSE,"Employment type",19
2021-03-01,"Public sector employees",42.8,"v1642751282","1",FALSE,"Employment type",19
2021-04-01,"Public sector employees",44,"v1642751282","1",FALSE,"Employment type",19
2021-05-01,"Public sector employees",44.4,"v1642751282","1",FALSE,"Employment type",19
2021-06-01,"Public sector employees",44.4,"v1642751282","1",FALSE,"Employment type",19
2021-07-01,"Public sector employees",43.1,"v1642751282","1",FALSE,"Employment type",19
2021-08-01,"Public sector employees",41.7,"v1642751282","1",FALSE,"Employment type",19
2021-09-01,"Public sector employees",40.9,"v1642751282","1",FALSE,"Employment type",19
2021-10-01,"Public sector employees",41.6,"v1642751282","1",FALSE,"Employment type",19
2021-11-01,"Public sector employees",43.8,"v1642751282","1",FALSE,"Employment type",19
2021-12-01,"Public sector employees",46.4,"v1642751282","1",FALSE,"Employment type",19
2022-01-01,"Public sector employees",47.9,"v1642751282","1",FALSE,"Employment type",19
2022-02-01,"Public sector employees",49.3,"v1642751282","1",FALSE,"Employment type",19
2022-03-01,"Public sector employees",49.3,"v1642751282","1",FALSE,"Employment type",19
2022-04-01,"Public sector employees",50.2,"v1642751282","1",FALSE,"Employment type",19
2022-05-01,"Public sector employees",49.9,"v1642751282","1",FALSE,"Employment type",19
2022-06-01,"Public sector employees",49.9,"v1642751282","1",FALSE,"Employment type",19
2022-07-01,"Public sector employees",48.7,"v1642751282","1",FALSE,"Employment type",19
2022-08-01,"Public sector employees",46.9,"v1642751282","1",FALSE,"Employment type",19
2022-09-01,"Public sector employees",45.3,"v1642751282","1",FALSE,"Employment type",19
2022-10-01,"Public sector employees",44.9,"v1642751282","1",FALSE,"Employment type",19
2022-11-01,"Public sector employees",46,"v1642751282","1",FALSE,"Employment type",19
2022-12-01,"Public sector employees",46.5,"v1642751282","1",FALSE,"Employment type",19
2023-01-01,"Public sector employees",47.4,"v1642751282","1",FALSE,"Employment type",19
2023-02-01,"Public sector employees",48.4,"v1642751282","1",FALSE,"Employment type",19
2023-03-01,"Public sector employees",50.2,"v1642751282","1",FALSE,"Employment type",19
2023-04-01,"Public sector employees",51.6,"v1642751282","1",FALSE,"Employment type",19
2023-05-01,"Public sector employees",53.2,"v1642751282","1",FALSE,"Employment type",19
2023-06-01,"Public sector employees",54.4,"v1642751282","1",FALSE,"Employment type",19
2023-07-01,"Public sector employees",53,"v1642751282","1",FALSE,"Employment type",19
2023-08-01,"Public sector employees",50.1,"v1642751282","1",FALSE,"Employment type",19
2023-09-01,"Public sector employees",48.3,"v1642751282","1",FALSE,"Employment type",19
2023-10-01,"Public sector employees",49.3,"v1642751282","1",FALSE,"Employment type",19
2023-11-01,"Public sector employees",50.6,"v1642751282","1",FALSE,"Employment type",19
2023-12-01,"Public sector employees",50.1,"v1642751282","1",FALSE,"Employment type",19
2024-01-01,"Public sector employees",49.4,"v1642751282","1",FALSE,"Employment type",19
2024-02-01,"Public sector employees",49.3,"v1642751282","1",FALSE,"Employment type",19
2024-03-01,"Public sector employees",50.4,"v1642751282","1",FALSE,"Employment type",19
2024-04-01,"Public sector employees",51.2,"v1642751282","1",FALSE,"Employment type",19
2024-05-01,"Public sector employees",52.1,"v1642751282","1",FALSE,"Employment type",19
2024-06-01,"Public sector employees",53,"v1642751282","1",FALSE,"Employment type",19
2024-07-01,"Public sector employees",53.9,"v1642751282","1",FALSE,"Employment type",19
2024-08-01,"Public sector employees",53.4,"v1642751282","1",FALSE,"Employment type",19
2024-09-01,"Public sector employees",52.9,"v1642751282","1",FALSE,"Employment type",19
2024-10-01,"Public sector employees",53.2,"v1642751282","1",FALSE,"Employment type",19
2024-11-01,"Public sector employees",54.7,"v1642751282","1",FALSE,"Employment type",19
2024-12-01,"Public sector employees",56.5,"v1642751282","1",FALSE,"Employment type",19
2025-01-01,"Public sector employees",57.3,"v1642751282","1",FALSE,"Employment type",19
2025-02-01,"Public sector employees",58,"v1642751282","1",FALSE,"Employment type",19
2025-03-01,"Public sector employees",58.2,"v1642751282","1",FALSE,"Employment type",19
2025-04-01,"Public sector employees",58.2,"v1642751282","1",FALSE,"Employment type",19
2025-05-01,"Public sector employees",57.2,"v1642751282","1",FALSE,"Employment type",19
2025-06-01,"Public sector employees",56.5,"v1642751282","1",FALSE,"Employment type",19
2025-07-01,"Public sector employees",55.7,"v1642751282","1",FALSE,"Employment type",19
2025-08-01,"Public sector employees",56,"v1642751282","1",FALSE,"Employment type",19
2025-09-01,"Public sector employees",57.3,"v1642751282","1",FALSE,"Employment type",19
2025-10-01,"Public sector employees",58.8,"v1642751282","1",FALSE,"Employment type",19
2025-11-01,"Public sector employees",59.8,"v1642751282","1",FALSE,"Employment type",19
2025-12-01,"Public sector employees",59.1,"v1642751282","1",FALSE,"Employment type",19
2026-01-01,"Public sector employees",57.4,"v1642751282","1",FALSE,"Employment type",19
2026-02-01,"Public sector employees",55,"v1642751282","1",FALSE,"Employment type",19
2026-03-01,"Public sector employees",53.3,"v1642751282","1",FALSE,"Employment type",19
2026-04-01,"Public sector employees",52.8,"v1642751282","1",FALSE,"Employment type",19
2026-05-01,"Public sector employees",52.7,"v1642751282","1",FALSE,"Employment type",19
2026-06-01,"Public sector employees",52.2,"v1642751282","1",FALSE,"Employment type",19
2026-07-01,"Public sector employees",51.5,"v1642751282","1",FALSE,"Employment type",19
2026-08-01,"Public sector employees",50.3,"v1642751282","1",FALSE,"Employment type",19
