"date","label","value","VECTOR","DECIMALS","is_ratio","units","display_order"
2017-08-01,"Population",250.8,"v1643280142","1",FALSE,"Thousands, persons",7
2017-09-01,"Population",251.2,"v1643280142","1",FALSE,"Thousands, persons",7
2017-10-01,"Population",251.6,"v1643280142","1",FALSE,"Thousands, persons",7
2017-11-01,"Population",251.9,"v1643280142","1",FALSE,"Thousands, persons",7
2017-12-01,"Population",252.2,"v1643280142","1",FALSE,"Thousands, persons",7
2018-01-01,"Population",252.5,"v1643280142","1",FALSE,"Thousands, persons",7
2018-02-01,"Population",252.8,"v1643280142","1",FALSE,"Thousands, persons",7
2018-03-01,"Population",253.1,"v1643280142","1",FALSE,"Thousands, persons",7
2018-04-01,"Population",253.4,"v1643280142","1",FALSE,"Thousands, persons",7
2018-05-01,"Population",253.8,"v1643280142","1",FALSE,"Thousands, persons",7
2018-06-01,"Population",254.1,"v1643280142","1",FALSE,"Thousands, persons",7
2018-07-01,"Population",254.4,"v1643280142","1",FALSE,"Thousands, persons",7
2018-08-01,"Population",254.7,"v1643280142","1",FALSE,"Thousands, persons",7
2018-09-01,"Population",255.1,"v1643280142","1",FALSE,"Thousands, persons",7
2018-10-01,"Population",255.4,"v1643280142","1",FALSE,"Thousands, persons",7
2018-11-01,"Population",255.7,"v1643280142","1",FALSE,"Thousands, persons",7
2018-12-01,"Population",256,"v1643280142","1",FALSE,"Thousands, persons",7
2019-01-01,"Population",256.4,"v1643280142","1",FALSE,"Thousands, persons",7
2019-02-01,"Population",256.6,"v1643280142","1",FALSE,"Thousands, persons",7
2019-03-01,"Population",256.9,"v1643280142","1",FALSE,"Thousands, persons",7
2019-04-01,"Population",257.1,"v1643280142","1",FALSE,"Thousands, persons",7
2019-05-01,"Population",257.3,"v1643280142","1",FALSE,"Thousands, persons",7
2019-06-01,"Population",257.6,"v1643280142","1",FALSE,"Thousands, persons",7
2019-07-01,"Population",258,"v1643280142","1",FALSE,"Thousands, persons",7
2019-08-01,"Population",258.4,"v1643280142","1",FALSE,"Thousands, persons",7
2019-09-01,"Population",258.9,"v1643280142","1",FALSE,"Thousands, persons",7
2019-10-01,"Population",259.3,"v1643280142","1",FALSE,"Thousands, persons",7
2019-11-01,"Population",259.8,"v1643280142","1",FALSE,"Thousands, persons",7
2019-12-01,"Population",260.2,"v1643280142","1",FALSE,"Thousands, persons",7
2020-01-01,"Population",260.6,"v1643280142","1",FALSE,"Thousands, persons",7
2020-02-01,"Population",260.9,"v1643280142","1",FALSE,"Thousands, persons",7
2020-03-01,"Population",261.1,"v1643280142","1",FALSE,"Thousands, persons",7
2020-04-01,"Population",261.3,"v1643280142","1",FALSE,"Thousands, persons",7
2020-05-01,"Population",261.5,"v1643280142","1",FALSE,"Thousands, persons",7
2020-06-01,"Population",261.6,"v1643280142","1",FALSE,"Thousands, persons",7
2020-07-01,"Population",261.8,"v1643280142","1",FALSE,"Thousands, persons",7
2020-08-01,"Population",261.9,"v1643280142","1",FALSE,"Thousands, persons",7
2020-09-01,"Population",262,"v1643280142","1",FALSE,"Thousands, persons",7
2020-10-01,"Population",262.1,"v1643280142","1",FALSE,"Thousands, persons",7
2020-11-01,"Population",262.1,"v1643280142","1",FALSE,"Thousands, persons",7
2020-12-01,"Population",262.2,"v1643280142","1",FALSE,"Thousands, persons",7
2021-01-01,"Population",262.2,"v1643280142","1",FALSE,"Thousands, persons",7
2021-02-01,"Population",262.3,"v1643280142","1",FALSE,"Thousands, persons",7
2021-03-01,"Population",262.4,"v1643280142","1",FALSE,"Thousands, persons",7
2021-04-01,"Population",262.4,"v1643280142","1",FALSE,"Thousands, persons",7
2021-05-01,"Population",262.4,"v1643280142","1",FALSE,"Thousands, persons",7
2021-06-01,"Population",262.4,"v1643280142","1",FALSE,"Thousands, persons",7
2021-07-01,"Population",262.5,"v1643280142","1",FALSE,"Thousands, persons",7
2021-08-01,"Population",262.7,"v1643280142","1",FALSE,"Thousands, persons",7
2021-09-01,"Population",263,"v1643280142","1",FALSE,"Thousands, persons",7
2021-10-01,"Population",263.4,"v1643280142","1",FALSE,"Thousands, persons",7
2021-11-01,"Population",263.9,"v1643280142","1",FALSE,"Thousands, persons",7
2021-12-01,"Population",264.4,"v1643280142","1",FALSE,"Thousands, persons",7
2022-01-01,"Population",265,"v1643280142","1",FALSE,"Thousands, persons",7
2022-02-01,"Population",265.6,"v1643280142","1",FALSE,"Thousands, persons",7
2022-03-01,"Population",266.1,"v1643280142","1",FALSE,"Thousands, persons",7
2022-04-01,"Population",266.7,"v1643280142","1",FALSE,"Thousands, persons",7
2022-05-01,"Population",267.3,"v1643280142","1",FALSE,"Thousands, persons",7
2022-06-01,"Population",268,"v1643280142","1",FALSE,"Thousands, persons",7
2022-07-01,"Population",268.8,"v1643280142","1",FALSE,"Thousands, persons",7
2022-08-01,"Population",269.7,"v1643280142","1",FALSE,"Thousands, persons",7
2022-09-01,"Population",270.7,"v1643280142","1",FALSE,"Thousands, persons",7
2022-10-01,"Population",271.7,"v1643280142","1",FALSE,"Thousands, persons",7
2022-11-01,"Population",272.6,"v1643280142","1",FALSE,"Thousands, persons",7
2022-12-01,"Population",273.5,"v1643280142","1",FALSE,"Thousands, persons",7
2023-01-01,"Population",274.5,"v1643280142","1",FALSE,"Thousands, persons",7
2023-02-01,"Population",275.5,"v1643280142","1",FALSE,"Thousands, persons",7
2023-03-01,"Population",276.6,"v1643280142","1",FALSE,"Thousands, persons",7
2023-04-01,"Population",277.6,"v1643280142","1",FALSE,"Thousands, persons",7
2023-05-01,"Population",278.7,"v1643280142","1",FALSE,"Thousands, persons",7
2023-06-01,"Population",279.8,"v1643280142","1",FALSE,"Thousands, persons",7
2023-07-01,"Population",281,"v1643280142","1",FALSE,"Thousands, persons",7
2023-08-01,"Population",282.1,"v1643280142","1",FALSE,"Thousands, persons",7
2023-09-01,"Population",283.2,"v1643280142","1",FALSE,"Thousands, persons",7
2023-10-01,"Population",284.3,"v1643280142","1",FALSE,"Thousands, persons",7
2023-11-01,"Population",285.3,"v1643280142","1",FALSE,"Thousands, persons",7
2023-12-01,"Population",286.4,"v1643280142","1",FALSE,"Thousands, persons",7
2024-01-01,"Population",287.5,"v1643280142","1",FALSE,"Thousands, persons",7
2024-02-01,"Population",288.6,"v1643280142","1",FALSE,"Thousands, persons",7
2024-03-01,"Population",289.8,"v1643280142","1",FALSE,"Thousands, persons",7
2024-04-01,"Population",291,"v1643280142","1",FALSE,"Thousands, persons",7
2024-05-01,"Population",292.2,"v1643280142","1",FALSE,"Thousands, persons",7
2024-06-01,"Population",293.5,"v1643280142","1",FALSE,"Thousands, persons",7
2024-07-01,"Population",294.7,"v1643280142","1",FALSE,"Thousands, persons",7
2024-08-01,"Population",295.9,"v1643280142","1",FALSE,"Thousands, persons",7
2024-09-01,"Population",297.2,"v1643280142","1",FALSE,"Thousands, persons",7
2024-10-01,"Population",298.3,"v1643280142","1",FALSE,"Thousands, persons",7
2024-11-01,"Population",299.3,"v1643280142","1",FALSE,"Thousands, persons",7
2024-12-01,"Population",300,"v1643280142","1",FALSE,"Thousands, persons",7
2025-01-01,"Population",300.8,"v1643280142","1",FALSE,"Thousands, persons",7
2025-02-01,"Population",301.7,"v1643280142","1",FALSE,"Thousands, persons",7
2025-03-01,"Population",302.6,"v1643280142","1",FALSE,"Thousands, persons",7
2025-04-01,"Population",303.6,"v1643280142","1",FALSE,"Thousands, persons",7
2025-05-01,"Population",304.5,"v1643280142","1",FALSE,"Thousands, persons",7
2025-06-01,"Population",305.4,"v1643280142","1",FALSE,"Thousands, persons",7
2025-07-01,"Population",306.3,"v1643280142","1",FALSE,"Thousands, persons",7
2025-08-01,"Population",307.2,"v1643280142","1",FALSE,"Thousands, persons",7
2025-09-01,"Population",308,"v1643280142","1",FALSE,"Thousands, persons",7
2025-10-01,"Population",308.9,"v1643280142","1",FALSE,"Thousands, persons",7
2025-11-01,"Population",309.8,"v1643280142","1",FALSE,"Thousands, persons",7
2025-12-01,"Population",310.7,"v1643280142","1",FALSE,"Thousands, persons",7
2026-01-01,"Population",311.5,"v1643280142","1",FALSE,"Thousands, persons",7
2026-02-01,"Population",312.2,"v1643280142","1",FALSE,"Thousands, persons",7
2026-03-01,"Population",313,"v1643280142","1",FALSE,"Thousands, persons",7
2026-04-01,"Population",313.7,"v1643280142","1",FALSE,"Thousands, persons",7
2026-05-01,"Population",314.5,"v1643280142","1",FALSE,"Thousands, persons",7
2026-06-01,"Population",315.4,"v1643280142","1",FALSE,"Thousands, persons",7
2026-07-01,"Population",316.4,"v1643280142","1",FALSE,"Thousands, persons",7
2026-08-01,"Population",317.4,"v1643280142","1",FALSE,"Thousands, persons",7
