"date","label","value","VECTOR","DECIMALS","estimate","unit_type","panel_label","is_ratio","display_order"
2003-03-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2003-04-01,"Housing starts | Apartment and other unit types",130,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2003-05-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2003-06-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2003-07-01,"Housing starts | Apartment and other unit types",24,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2003-08-01,"Housing starts | Apartment and other unit types",76,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2003-09-01,"Housing starts | Apartment and other unit types",80,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2003-10-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2003-11-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2003-12-01,"Housing starts | Apartment and other unit types",1,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2004-01-01,"Housing starts | Apartment and other unit types",70,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2004-02-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2004-03-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2004-04-01,"Housing starts | Apartment and other unit types",44,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2004-05-01,"Housing starts | Apartment and other unit types",192,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2004-06-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2004-07-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2004-08-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2004-09-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2004-10-01,"Housing starts | Apartment and other unit types",23,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2004-11-01,"Housing starts | Apartment and other unit types",58,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2004-12-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2005-01-01,"Housing starts | Apartment and other unit types",63,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2005-02-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2005-03-01,"Housing starts | Apartment and other unit types",6,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2005-04-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2005-05-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2005-06-01,"Housing starts | Apartment and other unit types",101,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2005-07-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2005-08-01,"Housing starts | Apartment and other unit types",4,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2005-09-01,"Housing starts | Apartment and other unit types",27,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2005-10-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2005-11-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2005-12-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2006-01-01,"Housing starts | Apartment and other unit types",53,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2006-02-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2006-03-01,"Housing starts | Apartment and other unit types",33,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2006-04-01,"Housing starts | Apartment and other unit types",71,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2006-05-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2006-06-01,"Housing starts | Apartment and other unit types",67,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2006-07-01,"Housing starts | Apartment and other unit types",63,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2006-08-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2006-09-01,"Housing starts | Apartment and other unit types",45,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2006-10-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2006-11-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2006-12-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2007-01-01,"Housing starts | Apartment and other unit types",51,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2007-02-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2007-03-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2007-04-01,"Housing starts | Apartment and other unit types",38,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2007-05-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2007-06-01,"Housing starts | Apartment and other unit types",133,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2007-07-01,"Housing starts | Apartment and other unit types",70,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2007-08-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2007-09-01,"Housing starts | Apartment and other unit types",41,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2007-10-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2007-11-01,"Housing starts | Apartment and other unit types",40,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2007-12-01,"Housing starts | Apartment and other unit types",34,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2008-01-01,"Housing starts | Apartment and other unit types",94,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2008-02-01,"Housing starts | Apartment and other unit types",71,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2008-03-01,"Housing starts | Apartment and other unit types",59,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2008-04-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2008-05-01,"Housing starts | Apartment and other unit types",46,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2008-06-01,"Housing starts | Apartment and other unit types",275,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2008-07-01,"Housing starts | Apartment and other unit types",44,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2008-08-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2008-09-01,"Housing starts | Apartment and other unit types",110,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2008-10-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2008-11-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2008-12-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2009-01-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2009-02-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2009-03-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2009-04-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2009-05-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2009-06-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2009-07-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2009-08-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2009-09-01,"Housing starts | Apartment and other unit types",8,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2009-10-01,"Housing starts | Apartment and other unit types",12,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2009-11-01,"Housing starts | Apartment and other unit types",94,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2009-12-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2010-01-01,"Housing starts | Apartment and other unit types",41,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2010-02-01,"Housing starts | Apartment and other unit types",40,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2010-03-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2010-04-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2010-05-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2010-06-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2010-07-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2010-08-01,"Housing starts | Apartment and other unit types",116,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2010-09-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2010-10-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2010-11-01,"Housing starts | Apartment and other unit types",142,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2010-12-01,"Housing starts | Apartment and other unit types",71,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2011-01-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2011-02-01,"Housing starts | Apartment and other unit types",201,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2011-03-01,"Housing starts | Apartment and other unit types",50,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2011-04-01,"Housing starts | Apartment and other unit types",24,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2011-05-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2011-06-01,"Housing starts | Apartment and other unit types",147,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2011-07-01,"Housing starts | Apartment and other unit types",48,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2011-08-01,"Housing starts | Apartment and other unit types",12,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2011-09-01,"Housing starts | Apartment and other unit types",83,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2011-10-01,"Housing starts | Apartment and other unit types",151,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2011-11-01,"Housing starts | Apartment and other unit types",135,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2011-12-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2012-01-01,"Housing starts | Apartment and other unit types",31,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2012-02-01,"Housing starts | Apartment and other unit types",145,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2012-03-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2012-04-01,"Housing starts | Apartment and other unit types",35,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2012-05-01,"Housing starts | Apartment and other unit types",75,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2012-06-01,"Housing starts | Apartment and other unit types",91,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2012-07-01,"Housing starts | Apartment and other unit types",62,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2012-08-01,"Housing starts | Apartment and other unit types",92,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2012-09-01,"Housing starts | Apartment and other unit types",154,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2012-10-01,"Housing starts | Apartment and other unit types",193,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2012-11-01,"Housing starts | Apartment and other unit types",294,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2012-12-01,"Housing starts | Apartment and other unit types",73,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2013-01-01,"Housing starts | Apartment and other unit types",24,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2013-02-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2013-03-01,"Housing starts | Apartment and other unit types",87,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2013-04-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
