"date","label","value","VECTOR","DECIMALS","estimate","unit_type","panel_label","is_ratio","display_order"
2004-02-01,"Housing under construction | Row units",92,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2004-03-01,"Housing under construction | Row units",108,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2004-04-01,"Housing under construction | Row units",153,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2004-05-01,"Housing under construction | Row units",228,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2004-06-01,"Housing under construction | Row units",188,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2004-07-01,"Housing under construction | Row units",188,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2004-08-01,"Housing under construction | Row units",144,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2004-09-01,"Housing under construction | Row units",54,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2004-10-01,"Housing under construction | Row units",98,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2004-11-01,"Housing under construction | Row units",201,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2004-12-01,"Housing under construction | Row units",204,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2005-01-01,"Housing under construction | Row units",204,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2005-02-01,"Housing under construction | Row units",187,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2005-03-01,"Housing under construction | Row units",187,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2005-04-01,"Housing under construction | Row units",187,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2005-05-01,"Housing under construction | Row units",126,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2005-06-01,"Housing under construction | Row units",122,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2005-07-01,"Housing under construction | Row units",106,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2005-08-01,"Housing under construction | Row units",100,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2005-09-01,"Housing under construction | Row units",100,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2005-10-01,"Housing under construction | Row units",58,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2005-11-01,"Housing under construction | Row units",34,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2005-12-01,"Housing under construction | Row units",8,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2006-01-01,"Housing under construction | Row units",13,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2006-02-01,"Housing under construction | Row units",13,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2006-03-01,"Housing under construction | Row units",13,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2006-04-01,"Housing under construction | Row units",13,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2006-05-01,"Housing under construction | Row units",19,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2006-06-01,"Housing under construction | Row units",31,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2006-07-01,"Housing under construction | Row units",38,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2006-08-01,"Housing under construction | Row units",30,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2006-09-01,"Housing under construction | Row units",33,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2006-10-01,"Housing under construction | Row units",59,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2006-11-01,"Housing under construction | Row units",93,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2006-12-01,"Housing under construction | Row units",128,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2007-01-01,"Housing under construction | Row units",145,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2007-02-01,"Housing under construction | Row units",162,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2007-03-01,"Housing under construction | Row units",162,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2007-04-01,"Housing under construction | Row units",215,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2007-05-01,"Housing under construction | Row units",268,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2007-06-01,"Housing under construction | Row units",284,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2007-07-01,"Housing under construction | Row units",341,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2007-08-01,"Housing under construction | Row units",339,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2007-09-01,"Housing under construction | Row units",364,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2007-10-01,"Housing under construction | Row units",365,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2007-11-01,"Housing under construction | Row units",340,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2007-12-01,"Housing under construction | Row units",344,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2008-01-01,"Housing under construction | Row units",355,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2008-02-01,"Housing under construction | Row units",331,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2008-03-01,"Housing under construction | Row units",305,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2008-04-01,"Housing under construction | Row units",295,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2008-05-01,"Housing under construction | Row units",340,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2008-06-01,"Housing under construction | Row units",340,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2008-07-01,"Housing under construction | Row units",365,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2008-08-01,"Housing under construction | Row units",361,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2008-09-01,"Housing under construction | Row units",327,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2008-10-01,"Housing under construction | Row units",314,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2008-11-01,"Housing under construction | Row units",281,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2008-12-01,"Housing under construction | Row units",266,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2009-01-01,"Housing under construction | Row units",237,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2009-02-01,"Housing under construction | Row units",237,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2009-03-01,"Housing under construction | Row units",237,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2009-04-01,"Housing under construction | Row units",226,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2009-05-01,"Housing under construction | Row units",158,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2009-06-01,"Housing under construction | Row units",125,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2009-07-01,"Housing under construction | Row units",76,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2009-08-01,"Housing under construction | Row units",73,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2009-09-01,"Housing under construction | Row units",65,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2009-10-01,"Housing under construction | Row units",61,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2009-11-01,"Housing under construction | Row units",128,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2009-12-01,"Housing under construction | Row units",152,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2010-01-01,"Housing under construction | Row units",152,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2010-02-01,"Housing under construction | Row units",152,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2010-03-01,"Housing under construction | Row units",152,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2010-04-01,"Housing under construction | Row units",140,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2010-05-01,"Housing under construction | Row units",146,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2010-06-01,"Housing under construction | Row units",198,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2010-07-01,"Housing under construction | Row units",173,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2010-08-01,"Housing under construction | Row units",189,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2010-09-01,"Housing under construction | Row units",216,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2010-10-01,"Housing under construction | Row units",260,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2010-11-01,"Housing under construction | Row units",252,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2010-12-01,"Housing under construction | Row units",224,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2011-01-01,"Housing under construction | Row units",220,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2011-02-01,"Housing under construction | Row units",252,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2011-03-01,"Housing under construction | Row units",247,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2011-04-01,"Housing under construction | Row units",313,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2011-05-01,"Housing under construction | Row units",359,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2011-06-01,"Housing under construction | Row units",337,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2011-07-01,"Housing under construction | Row units",348,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2011-08-01,"Housing under construction | Row units",368,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2011-09-01,"Housing under construction | Row units",370,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2011-10-01,"Housing under construction | Row units",336,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
